"No.","Time","Source","Destination","Protocol","Length","Info"
"53","24.037449","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x462d, seq=1369/22789, ttl=60 (request in 52)"
"54","25.038354","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x472d, seq=1370/23045, ttl=64 (no response found!)"
"55","26.476403","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"56","27.039493","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x492d, seq=1371/23301, ttl=64 (reply in 57)"
"57","27.086653","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x492d, seq=1371/23301, ttl=60 (request in 56)"
"58","28.087018","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4a2d, seq=1372/23557, ttl=64 (reply in 59)"
"59","28.149148","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4a2d, seq=1372/23557, ttl=60 (request in 58)"
"60","29.149803","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4b2d, seq=1373/23813, ttl=64 (no response found!)"
"61","30.593251","ca:01:38:f4:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","350","Device ID: R1  Port ID: FastEthernet0/0  "
"62","31.151168","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4d2d, seq=1374/24069, ttl=64 (reply in 63)"
"63","31.202863","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4d2d, seq=1374/24069, ttl=60 (request in 62)"
"64","32.081479","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"65","32.203992","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4e2d, seq=1375/24325, ttl=64 (reply in 66)"
"66","32.267100","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4e2d, seq=1375/24325, ttl=60 (request in 65)"
"67","33.268386","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x4f2d, seq=1376/24581, ttl=64 (reply in 68)"
"68","33.319310","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x4f2d, seq=1376/24581, ttl=60 (request in 67)"
"69","34.320226","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x512d, seq=1377/24837, ttl=64 (no response found!)"
"70","36.321661","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x532d, seq=1378/25093, ttl=64 (reply in 71)"
"71","36.398853","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x532d, seq=1378/25093, ttl=60 (request in 70)"
"72","36.512335","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"73","37.399970","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x542d, seq=1379/25349, ttl=64 (reply in 74)"
"74","37.451747","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x542d, seq=1379/25349, ttl=60 (request in 73)"
"75","38.453214","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x552d, seq=1380/25605, ttl=64 (reply in 76)"
