"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa795, seq=24499/45919, ttl=64 (no response found!)"
"2","0.003070","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"3","1.004179","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa895, seq=24500/46175, ttl=64 (no response found!)"
"4","1.012866","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"5","2.014460","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xa995, seq=24501/46431, ttl=64 (no response found!)"
"6","2.024104","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"7","3.025564","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xaa95, seq=24502/46687, ttl=64 (no response found!)"
"8","3.037238","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"9","4.038261","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xab95, seq=24503/46943, ttl=64 (no response found!)"
"10","4.039343","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"11","4.773062","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"12","5.040478","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xac95, seq=24504/47199, ttl=64 (no response found!)"
"13","5.041371","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"14","6.042341","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xad95, seq=24505/47455, ttl=64 (no response found!)"
"15","6.044869","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"16","7.047204","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xae95, seq=24506/47711, ttl=64 (no response found!)"
"17","7.057504","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"18","7.469376","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"19","8.058084","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xaf95, seq=24507/47967, ttl=64 (no response found!)"
"20","8.069446","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"21","9.070714","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xb095, seq=24508/48223, ttl=64 (reply in 22)"
"22","9.124998","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xb095, seq=24508/48223, ttl=60 (request in 21)"
"23","10.126304","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xb195, seq=24509/48479, ttl=64 (reply in 24)"
"24","10.175049","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xb195, seq=24509/48479, ttl=60 (request in 23)"
"25","11.176490","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xb295, seq=24510/48735, ttl=64 (reply in 26)"
"26","11.239594","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xb295, seq=24510/48735, ttl=60 (request in 25)"
"27","12.241588","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xb395, seq=24511/48991, ttl=64 (reply in 28)"
"28","12.303936","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xb395, seq=24511/48991, ttl=60 (request in 27)"
"29","13.304583","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xb595, seq=24512/49247, ttl=64 (reply in 30)"
"30","13.356277","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xb595, seq=24512/49247, ttl=60 (request in 29)"
"31","14.243800","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"32","14.358197","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xb695, seq=24513/49503, ttl=64 (reply in 33)"
"33","14.410094","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xb695, seq=24513/49503, ttl=60 (request in 32)"
