"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xc014, seq=50840/39110, ttl=64 (no response found!)"
"2","1.373218","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"3","2.001219","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xc214, seq=50841/39366, ttl=64 (no response found!)"
"4","3.248945","ca:01:38:f4:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","350","Device ID: R1  Port ID: FastEthernet0/0  "
"5","4.002628","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xc414, seq=50842/39622, ttl=64 (no response found!)"
"6","6.003087","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xc614, seq=50843/39878, ttl=64 (reply in 7)"
"7","6.053783","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xc614, seq=50843/39878, ttl=60 (request in 6)"
"8","6.281932","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"9","7.055455","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xc814, seq=50844/40134, ttl=64 (reply in 10)"
"10","7.099262","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xc814, seq=50844/40134, ttl=60 (request in 9)"
"11","8.100861","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xc914, seq=50845/40390, ttl=64 (reply in 12)"
"12","8.143925","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xc914, seq=50845/40390, ttl=60 (request in 11)"
"13","9.145736","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xca14, seq=50846/40646, ttl=64 (reply in 14)"
"14","9.190861","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xca14, seq=50846/40646, ttl=60 (request in 13)"
"15","10.192686","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xcb14, seq=50847/40902, ttl=64 (reply in 16)"
"16","10.238031","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xcb14, seq=50847/40902, ttl=60 (request in 15)"
"17","11.239538","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xcc14, seq=50848/41158, ttl=64 (reply in 18)"
"18","11.288654","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xcc14, seq=50848/41158, ttl=60 (request in 17)"
"19","11.382684","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"20","12.289865","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xcd14, seq=50849/41414, ttl=64 (reply in 21)"
"21","12.341645","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xcd14, seq=50849/41414, ttl=60 (request in 20)"
"22","13.343161","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xce14, seq=50850/41670, ttl=64 (reply in 23)"
"23","13.406242","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xce14, seq=50850/41670, ttl=60 (request in 22)"
"24","14.407189","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xcf14, seq=50851/41926, ttl=64 (reply in 25)"
"25","14.476903","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xcf14, seq=50851/41926, ttl=60 (request in 24)"
"26","15.478175","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd014, seq=50852/42182, ttl=64 (no response found!)"
"27","16.053922","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"28","17.479345","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd214, seq=50853/42438, ttl=64 (no response found!)"
"29","19.480027","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd414, seq=50854/42694, ttl=64 (no response found!)"
"30","21.393177","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"31","21.480394","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd614, seq=50855/42950, ttl=64 (no response found!)"
"32","21.486647","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"33","22.488192","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd714, seq=50856/43206, ttl=64 (no response found!)"
"34","22.492172","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"35","23.493773","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd814, seq=50857/43462, ttl=64 (no response found!)"
"36","23.497895","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"37","24.499569","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xd914, seq=50858/43718, ttl=64 (no response found!)"
"38","24.509094","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"39","25.136990","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"40","25.510845","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xda14, seq=50859/43974, ttl=64 (no response found!)"
"41","25.517996","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"42","26.518756","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xdb14, seq=50860/44230, ttl=64 (no response found!)"
"43","26.521431","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"44","27.522678","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xdc14, seq=50861/44486, ttl=64 (no response found!)"
"45","27.529826","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"46","28.531409","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xdd14, seq=50862/44742, ttl=64 (no response found!)"
"47","28.539219","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"48","29.539780","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xde14, seq=50863/44998, ttl=64 (reply in 49)"
"49","29.612971","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xde14, seq=50863/44998, ttl=60 (request in 48)"
"50","30.614558","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xdf14, seq=50864/45254, ttl=64 (reply in 51)"
"51","30.668595","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xdf14, seq=50864/45254, ttl=60 (request in 50)"
"52","31.403679","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"53","31.670075","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe014, seq=50865/45510, ttl=64 (reply in 54)"
"54","31.742609","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe014, seq=50865/45510, ttl=60 (request in 53)"
"55","32.743514","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe114, seq=50866/45766, ttl=64 (reply in 56)"
"56","32.797018","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe114, seq=50866/45766, ttl=60 (request in 55)"
"57","33.797907","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe214, seq=50867/46022, ttl=64 (reply in 58)"
"58","33.839566","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe214, seq=50867/46022, ttl=60 (request in 57)"
"59","34.595293","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"60","34.840174","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe314, seq=50868/46278, ttl=64 (reply in 61)"
"61","34.897547","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe314, seq=50868/46278, ttl=60 (request in 60)"
"62","35.898310","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe414, seq=50869/46534, ttl=64 (reply in 63)"
"63","35.942564","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe414, seq=50869/46534, ttl=60 (request in 62)"
"64","36.349167","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe514, seq=50870/46790, ttl=64 (reply in 65)"
"65","36.721560","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe514, seq=50870/46790, ttl=60 (request in 64)"
"66","37.722080","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe614, seq=50871/47046, ttl=64 (reply in 67)"
"67","37.764631","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe614, seq=50871/47046, ttl=60 (request in 66)"
"68","38.766258","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe714, seq=50872/47302, ttl=64 (reply in 69)"
"69","38.809372","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe714, seq=50872/47302, ttl=60 (request in 68)"
"70","39.811391","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe814, seq=50873/47558, ttl=64 (reply in 71)"
"71","39.856204","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe814, seq=50873/47558, ttl=60 (request in 70)"
"72","40.858107","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xe914, seq=50874/47814, ttl=64 (reply in 73)"
"73","40.902446","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xe914, seq=50874/47814, ttl=60 (request in 72)"
"74","41.373806","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"75","41.904328","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xea14, seq=50875/48070, ttl=64 (reply in 76)"
"76","41.970236","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xea14, seq=50875/48070, ttl=60 (request in 75)"
"77","42.971620","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0xeb14, seq=50876/48326, ttl=64 (reply in 78)"
"78","43.016970","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0xeb14, seq=50876/48326, ttl=60 (request in 77)"
